/Users/pslive1/Documents/Walk_Projext/BDL004_Goose_EyeTracking_Walk/BDL004_Goose_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,ToCut
BDL004_Goose_EyeTracking_Walk.mov,151,fixation,2261,75233.33333,75800,566.666667,75398.33333,01:15.5,179.16,324.77,34,27,
BDL004_Goose_EyeTracking_Walk.mov,152,fixation,2276,75900,76100,200,75898.33333,01:16.0,153.38,409.7,28,29,
BDL004_Goose_EyeTracking_Walk.mov,153,fixation,2286,76166.66667,76501.66667,335,76231.66667,01:16.3,156.49,345.13,29,28,
BDL004_Goose_EyeTracking_Walk.mov,154,fixation,2307,77001.66667,77101.66667,100,76933.33333,01:17.0,130.68,385.21,54,39,
BDL004_Goose_EyeTracking_Walk.mov,155,fixation,2317,77135,77635,500,77266.66667,01:17.3,153.9,331.82,45,40,
BDL004_Goose_EyeTracking_Walk.mov,156,fixation,2330,77736.66667,77870,133.333333,77701.66667,01:17.8,89.63,407.79,47,44,
BDL004_Goose_EyeTracking_Walk.mov,157,fixation,2342,77970,78436.66667,466.666667,78101.66667,01:18.2,124.66,357.07,50,39,
BDL004_Goose_EyeTracking_Walk.mov,158,fixation,2355,78503.33333,78770,266.666667,78535,01:18.6,148.6,340.76,48,39,
BDL004_Goose_EyeTracking_Walk.mov,159,fixation,2360,78770,78870,100,78701.66667,01:18.8,145.53,410.17,44,38,
BDL004_Goose_EyeTracking_Walk.mov,160,fixation,2400,78870,81406.66667,2536.666667,80036.66667,01:20.1,177.77,316.68,64,64,
BDL004_Goose_EyeTracking_Walk.mov,161,fixation,2458,81440,82741.66667,1301.666667,81973.33333,01:22.0,236.78,320.04,46,37,
BDL004_Goose_EyeTracking_Walk.mov,162,fixation,2482,82810,82943.33333,133.333333,82775,01:22.8,331.08,390.01,80,67,
BDL004_Goose_EyeTracking_Walk.mov,163,fixation,2491,83043.33333,83343.33333,300,83075,01:23.1,250.09,326.34,56,50,
BDL004_Goose_EyeTracking_Walk.mov,164,fixation,2497,83343.33333,83443.33333,100,83275,01:23.3,225.09,339.11,56,56,
BDL004_Goose_EyeTracking_Walk.mov,165,fixation,2517,83943.33333,84145,201.666667,83941.66667,01:24.0,200.25,354.45,27,32,
BDL004_Goose_EyeTracking_Walk.mov,166,fixation,2523,84178.33333,84345,166.666667,84143.33333,01:24.2,209.09,355.26,31,34,
BDL004_Goose_EyeTracking_Walk.mov,167,fixation,2529,84345,84578.33333,233.333333,84343.33333,01:24.4,187.7,385.55,33,34,
BDL004_Goose_EyeTracking_Walk.mov,168,fixation,2540,84745,84911.66667,166.666667,84710,01:24.8,179.5,399.67,64,64,
BDL004_Goose_EyeTracking_Walk.mov,169,fixation,2547,84978.33333,85145,166.666667,84943.33333,01:25.0,235.64,307,20,26,
BDL004_Goose_EyeTracking_Walk.mov,170,fixation,2555,85278.33333,85380,101.666667,85210,01:25.3,196.94,395.26,60,60,
BDL004_Goose_EyeTracking_Walk.mov,171,fixation,2563,85513.33333,85646.66667,133.333333,85478.33333,01:25.5,203.49,345.05,35,35,
BDL004_Goose_EyeTracking_Walk.mov,172,fixation,2570,85646.66667,86013.33333,366.666667,85711.66667,01:25.8,236.5,300.33,33,35,
BDL004_Goose_EyeTracking_Walk.mov,173,fixation,2579,86013.33333,86213.33333,200,86011.66667,01:26.1,216.61,334.65,16,19,
BDL004_Goose_EyeTracking_Walk.mov,174,fixation,2586,86280,86446.66667,166.666667,86245,01:26.3,214.83,381.38,34,31,
BDL004_Goose_EyeTracking_Walk.mov,175,fixation,2594,86513.33333,86715,201.666667,86511.66667,01:26.6,242.73,306.4,35,35,
BDL004_Goose_EyeTracking_Walk.mov,176,fixation,2600,86715,86948.33333,233.333333,86713.33333,01:26.8,220.32,341.22,14,15,
BDL004_Goose_EyeTracking_Walk.mov,177,fixation,2609,87015,87248.33333,233.333333,87013.33333,01:27.1,232.4,319.15,34,35,
BDL004_Goose_EyeTracking_Walk.mov,178,fixation,2618,87315,87548.33333,233.333333,87313.33333,01:27.4,232.5,320.84,36,36,
BDL004_Goose_EyeTracking_Walk.mov,179,fixation,2626,87548.33333,87815,266.666667,87580,01:27.6,247.82,301.89,33,36,
BDL004_Goose_EyeTracking_Walk.mov,180,fixation,2633,87815,88050,235,87813.33333,01:27.9,212.43,342.48,32,34,
BDL004_Goose_EyeTracking_Walk.mov,181,fixation,2653,88050,89116.66667,1066.666667,88481.66667,01:28.5,248.69,293.87,34,35,
BDL004_Goose_EyeTracking_Walk.mov,182,fixation,2679,89418.33333,89518.33333,100,89350,01:29.4,160.5,411.73,48,36,
BDL004_Goose_EyeTracking_Walk.mov,183,fixation,2741,89518.33333,93523.33333,4005,91418.33333,01:31.5,175.22,358.74,44,38,
BDL004_Goose_EyeTracking_Walk.mov,184,fixation,2817,93856.66667,94256.66667,400,93955,01:34.0,323.78,307.06,51,48,
BDL004_Goose_EyeTracking_Walk.mov,185,fixation,2826,94256.66667,94491.66667,235,94256.66667,01:34.3,275.56,364.32,43,42,
BDL004_Goose_EyeTracking_Walk.mov,186,fixation,2867,94491.66667,96961.66667,2470,95625,01:35.7,276.73,301.54,7,22,
BDL004_Goose_EyeTracking_Walk.mov,187,fixation,2918,97295,97561.66667,266.666667,97326.66667,01:37.4,426.46,391.92,23,33,
BDL004_Goose_EyeTracking_Walk.mov,188,fixation,2972,97928.33333,100531.6667,2603.333333,99128.33333,01:39.2,201.8,349.03,38,38,
BDL004_Goose_EyeTracking_Walk.mov,189,fixation,3023,100766.6667,101133.3333,366.666667,100831.6667,01:40.9,396.27,416.24,38,36,
BDL004_Goose_EyeTracking_Walk.mov,190,fixation,3115,101333.3333,106673.3333,5340,103901.6667,01:44.0,216.89,361.54,45,43,
