,/Users/pslive1/Documents/Walk_Projext/BDL079_Daisy_Walk_RouteP1/BDL079_Daisy_Walk_RouteP1.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes,all_classes,fixation_classes,fixation_classes_no_background,union_areas,percentage_area
790,BDL079_Daisy_Walk_RouteP1.mov,790,fixation,12108,404116.666667,404218.333333,101.666667,404081.666667,00:06:44.11700,67.02,123.95,-1000.0,-1000.0,,,,building building pavement plant_horizontal,plant_horizontal: 0.4749289577413145 building: 0.3301860848840407 background: 0.19488495737464478,plant_horizontal: 0.5898895593760674 building: 0.4101104406239326,0.862431640625,plant_horizontal:0.54966796875 building:0.12876302083333332 pavement:0.2972493489583333
791,BDL079_Daisy_Walk_RouteP1.mov,791,fixation,12113,404285.0,404385.0,100.0,404250.0,00:06:44.28500,106.56,101.45,-1000.0,-1000.0,,,,building plant_horizontal,building: 0.47025391878265654 plant_horizontal: 0.46521221010175084 background: 0.06453387111559263,building: 0.5026947574718276 plant_horizontal: 0.4973052425281725,0.8286360677083333,building:0.06916666666666667 plant_horizontal:0.7594694010416667
792,BDL079_Daisy_Walk_RouteP1.mov,792,fixation,12129,404751.666667,404951.666667,200.0,404783.333333,00:06:44.81800,235.51,52.35,-1000.0,-1000.0,,,,building plant_horizontal sky,plant_horizontal: 0.8533159706073854 sky: 0.0312529067063529 background: 0.11543112268626174,plant_horizontal: 0.9646687697160883 sky: 0.03533123028391167,0.93267578125,plant_horizontal:0.9073372395833333 sky:0.02529296875 building:0.01228515625
793,BDL079_Daisy_Walk_RouteP1.mov,793,fixation,12144,405318.333333,405418.333333,100.0,405283.333333,00:06:45.31800,269.37,200.64,-1000.0,-1000.0,,,,plant_horizontal,plant_horizontal: 1.0 background: 0.0,plant_horizontal: 1.0,0.9462044270833333,plant_horizontal:0.9462044270833333
794,BDL079_Daisy_Walk_RouteP1.mov,794,fixation,12176,406253.333333,406620.0,366.666667,406351.666667,00:06:46.38700,377.59,45.44,-1000.0,-1000.0,,,,building plant_horizontal,plant_horizontal: 0.4750243902439024 building: 0.45434146341463416 background: 0.07063414634146341,plant_horizontal: 0.5111274406886416 building: 0.48887255931135837,0.824560546875,plant_horizontal:0.776484375 building:0.0518359375
795,BDL079_Daisy_Walk_RouteP1.mov,795,fixation,12184,406620.0,406788.333333,168.333333,406618.333333,00:06:46.65300,378.19,71.99,-1000.0,-1000.0,,,,plant_horizontal sky,plant_horizontal: 0.9966999724997708 background: 0.0033000275002291685,plant_horizontal: 1.0,0.86091796875,plant_horizontal:0.8349251302083334 sky:0.030810546875
796,BDL079_Daisy_Walk_RouteP1.mov,796,fixation,12197,407021.666667,407221.666667,200.0,407053.333333,00:06:47.08800,228.17,115.54,-1000.0,-1000.0,,,,plant_horizontal plant_horizontal,plant_horizontal: 1.0 background: 0.0,plant_horizontal: 1.0,0.9262337239583334,plant_horizontal:1.1287109375
797,BDL079_Daisy_Walk_RouteP1.mov,797,fixation,12222,407855.0,408055.0,200.0,407886.666667,00:06:47.92200,238.96,137.24,-1000.0,-1000.0,,,,plant_horizontal plant_vertical,plant_horizontal: 0.5 plant_vertical: 0.5 background: 0.0,plant_horizontal: 0.5 plant_vertical: 0.5,0.903037109375,plant_horizontal:0.8875325520833334 plant_vertical:0.73671875
798,BDL079_Daisy_Walk_RouteP1.mov,798,fixation,12229,408123.333333,408256.666667,133.333333,408121.666667,00:06:48.15700,222.47,171.04,-1000.0,-1000.0,,,,plant_horizontal,plant_horizontal: 1.0 background: 0.0,plant_horizontal: 1.0,0.856728515625,plant_horizontal:0.856728515625
799,BDL079_Daisy_Walk_RouteP1.mov,799,fixation,12234,408323.333333,408423.333333,100.0,408288.333333,00:06:48.32300,189.94,199.48,-1000.0,-1000.0,,,,plant_horizontal,plant_horizontal: 1.0 background: 0.0,plant_horizontal: 1.0,0.9059309895833333,plant_horizontal:0.9059309895833333
